Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
4.68,0.00,-0.00,-0.00,0.01,-0.00,1.03
4.69,0.00,0.00,0.00,0.00,-0.00,1.02
4.70,-0.00,0.00,-0.00,-0.01,0.01,1.02
4.70,-0.00,-0.00,0.00,0.00,-0.01,1.02
4.71,-0.00,0.00,0.00,0.01,0.00,1.02
4.72,-0.00,0.00,0.00,0.02,0.01,1.01
4.73,0.00,-0.00,0.00,0.01,0.01,1.02
4.74,-0.00,0.00,0.00,0.01,-0.01,1.02
4.74,-0.00,0.00,0.00,0.01,0.00,1.03
4.75,-0.00,0.00,0.00,-0.01,0.00,1.04
4.76,-0.00,0.00,-0.00,-0.00,0.00,1.04
4.77,-0.00,0.00,-0.00,-0.01,0.01,1.03
4.78,-0.00,-0.00,0.00,-0.00,-0.01,1.03
4.78,-0.00,-0.00,-0.00,-0.01,0.01,1.02
4.79,0.00,0.00,-0.00,-0.01,-0.00,1.00
4.80,-0.00,0.00,0.00,-0.02,0.02,1.01
4.81,-0.00,0.00,-0.00,-0.00,0.00,0.99
4.82,0.00,-0.00,-0.00,-0.00,-0.01,1.00
4.82,-0.00,0.00,0.00,0.01,-0.00,0.99
4.83,-0.00,0.00,-0.00,-0.00,0.01,1.01
4.84,-0.00,0.00,-0.00,0.00,0.00,1.03
4.85,-0.00,0.00,-0.00,-0.00,-0.01,1.01
4.86,-0.00,0.00,-0.00,0.00,0.00,1.04
4.86,-0.00,0.00,0.00,0.01,0.02,1.03
4.87,-0.00,0.00,0.00,0.02,0.01,1.01
4.88,-0.00,0.00,0.00,0.01,0.01,1.02
4.89,-0.00,0.00,0.00,-0.00,-0.01,1.00
4.90,-0.00,-0.00,0.00,0.00,-0.00,1.01
4.91,-0.00,-0.00,0.00,-0.02,0.00,1.02
4.91,-0.00,-0.00,0.00,-0.02,-0.01,1.00
4.92,0.00,0.00,-0.00,-0.00,-0.01,1.02
4.93,0.00,-0.00,0.00,0.00,-0.01,1.01
4.94,0.00,0.00,-0.00,-0.01,0.00,1.01
4.95,-0.00,0.00,-0.00,0.00,0.01,1.05
4.95,0.00,-0.00,-0.00,0.00,0.02,1.03
4.96,0.00,0.00,-0.00,-0.00,-0.00,1.04
4.97,-0.00,-0.00,-0.00,0.02,-0.00,1.03
4.98,-0.00,0.00,-0.00,0.03,0.01,1.03
4.99,-0.00,0.00,-0.00,0.01,0.01,1.01
4.99,0.00,0.00,-0.00,-0.01,-0.00,1.01
5.00,0.00,0.00,-0.00,-0.02,-0.00,1.02
5.01,0.00,0.00,0.00,-0.03,-0.00,1.03
5.02,-0.00,0.00,0.00,-0.01,0.00,1.01
5.03,-0.00,0.00,0.00,0.00,-0.01,1.02
5.03,-0.00,0.00,-0.00,-0.01,-0.01,1.02
5.04,0.00,0.00,0.00,0.00,-0.02,1.02
5.05,0.00,0.00,-0.00,0.02,-0.02,1.03
5.06,0.00,-0.00,-0.00,0.01,-0.02,1.04
5.07,0.00,0.00,0.00,0.01,-0.01,1.03
5.07,-0.00,0.00,0.00,0.01,-0.02,1.01
5.08,-0.00,0.00,0.00,0.01,-0.01,1.02
5.09,-0.00,-0.00,0.00,0.01,0.01,1.03
5.10,-0.00,-0.00,0.00,0.00,0.01,1.02
5.11,0.00,0.00,0.00,0.01,0.01,1.03
5.11,-0.00,0.00,0.00,-0.01,0.00,1.02
5.12,-0.00,0.00,0.00,0.01,0.01,1.01
5.13,-0.00,0.00,0.00,0.00,-0.00,1.03
5.14,-0.00,0.00,-0.00,-0.01,0.00,1.03
5.14,-0.00,0.00,-0.00,-0.01,-0.01,1.01
5.15,-0.00,0.00,-0.00,-0.00,0.01,1.02
5.16,0.00,0.00,-0.00,0.01,0.02,1.03
5.17,0.00,0.00,-0.00,0.01,0.01,1.02
5.18,0.00,-0.00,-0.00,0.01,0.01,1.02
5.18,-0.00,-0.00,-0.00,0.01,0.01,1.01
5.19,0.00,-0.00,0.00,0.01,-0.00,1.02
5.20,-0.00,-0.00,0.00,0.00,0.00,1.03
5.21,-0.00,-0.00,0.00,-0.00,0.01,1.01
5.22,-0.00,-0.00,-0.00,-0.00,-0.00,1.01
5.22,-0.00,-0.00,-0.00,0.01,-0.01,1.01
5.23,0.00,0.00,-0.00,-0.00,0.01,1.01
5.24,0.00,-0.00,-0.00,-0.00,0.02,1.03
5.25,0.00,-0.00,-0.00,0.00,0.00,1.02
5.26,-0.00,0.00,0.00,0.01,0.01,1.02
5.26,-0.00,0.00,0.00,0.01,-0.00,1.01
5.27,-0.00,0.00,0.00,0.00,0.00,1.03
5.28,-0.00,0.00,0.00,0.01,0.00,1.02
5.29,0.00,0.00,-0.00,-0.00,0.01,1.02
5.30,-0.00,0.00,-0.00,0.01,-0.02,1.02
5.30,-0.00,-0.00,-0.00,0.00,-0.02,1.01
5.31,-0.00,-0.00,-0.00,-0.00,-0.01,1.02
5.32,-0.00,0.00,-0.00,0.01,-0.01,1.02
5.33,0.00,-0.00,0.00,-0.01,0.01,1.02
5.34,-0.00,0.00,-0.00,-0.01,0.01,1.02
5.34,-0.00,0.00,-0.00,0.02,0.00,1.01
5.35,0.00,0.00,-0.00,0.01,-0.01,1.02
5.36,-0.00,-0.00,-0.00,-0.00,-0.00,1.03
5.37,0.00,0.00,-0.00,-0.00,0.00,1.02
5.38,-0.00,0.00,-0.00,-0.01,0.02,1.01
5.39,-0.00,0.00,0.00,0.01,0.02,1.01
5.39,0.00,-0.00,0.00,-0.00,0.01,1.01
5.40,0.00,-0.00,0.00,0.00,-0.01,1.01
5.41,0.00,-0.00,0.00,0.02,-0.00,1.04
5.42,0.00,-0.00,0.00,0.01,0.00,1.04
5.43,0.00,-0.00,0.00,0.01,0.00,1.03
5.43,0.00,-0.00,0.00,0.00,-0.00,1.04
5.44,0.00,-0.00,0.00,-0.00,0.02,1.03
5.45,0.00,-0.00,0.00,-0.00,-0.00,1.04
5.46,0.00,-0.00,-0.00,0.00,-0.01,1.03
5.47,0.00,-0.00,-0.00,-0.01,-0.00,1.02
5.47,0.00,-0.00,0.00,0.01,0.01,1.03
5.48,0.00,-0.00,-0.00,0.01,0.01,1.00
5.49,0.00,-0.00,-0.00,0.01,0.00,1.02
5.50,0.00,-0.00,-0.00,0.01,-0.00,1.02
5.51,0.00,-0.00,-0.00,0.02,-0.01,1.03
5.51,0.00,-0.00,-0.00,-0.00,-0.01,1.01
5.52,-0.00,-0.00,-0.00,-0.01,0.01,1.01
5.53,0.00,-0.00,-0.00,0.01,0.00,1.02
5.54,0.00,-0.00,0.00,-0.00,-0.00,1.03
5.55,0.00,0.00,0.00,0.00,-0.01,1.01
5.55,0.00,-0.00,0.00,-0.01,-0.01,1.02
5.56,-0.00,-0.00,0.00,-0.03,0.00,1.04
5.57,0.00,-0.00,0.00,-0.01,0.01,1.03
5.58,-0.00,-0.00,0.00,0.00,-0.00,1.02
5.59,-0.00,-0.00,0.00,-0.01,0.01,1.00
5.59,0.00,-0.00,0.00,-0.01,0.01,1.02
5.60,0.00,-0.00,0.00,0.01,0.01,1.02
5.61,0.00,-0.00,0.00,0.03,-0.01,0.99
5.62,0.00,-0.00,0.00,0.01,-0.01,1.01
5.62,-0.00,0.00,0.00,-0.01,-0.01,1.02
5.63,-0.00,0.00,0.00,-0.02,0.00,1.03
5.64,-0.00,0.00,0.00,-0.01,-0.00,1.04
5.65,0.00,-0.00,0.00,0.00,-0.01,1.03
5.66,0.00,-0.00,-0.00,-0.00,-0.02,1.02
5.66,-0.00,0.00,-0.00,0.00,-0.01,1.02
5.67,-0.00,0.00,-0.00,0.02,-0.00,1.02
5.68,-0.00,0.00,-0.00,0.00,0.02,1.01
5.69,0.00,0.00,0.00,0.03,0.02,1.02
5.70,-0.00,0.00,0.00,0.03,-0.02,1.04
5.70,0.00,0.00,0.00,0.01,0.00,1.02
5.71,0.00,-0.00,0.00,0.02,-0.02,1.03
5.72,0.00,-0.00,-0.00,0.01,-0.01,1.02
5.73,0.00,-0.00,-0.00,-0.01,-0.02,1.02
5.74,-0.00,0.00,-0.00,-0.03,-0.00,1.02
5.74,-0.00,0.00,-0.00,-0.02,-0.00,1.02
5.75,-0.00,0.00,0.00,0.00,0.01,1.02
5.76,-0.00,0.00,0.00,-0.02,0.00,1.02
5.77,-0.00,0.00,0.00,0.02,0.02,1.03
5.78,0.00,0.00,-0.00,0.02,0.01,1.03
5.78,0.00,-0.00,0.00,0.02,0.02,1.01
5.79,0.00,0.00,0.00,0.02,-0.00,1.02
5.80,0.00,-0.00,0.00,-0.01,0.00,1.02
5.81,-0.00,-0.00,0.00,-0.00,-0.01,1.02
5.82,-0.00,-0.00,0.00,0.02,-0.01,1.03
5.82,-0.00,0.00,0.00,-0.03,-0.00,1.04
5.83,0.00,-0.00,0.00,-0.00,0.00,1.02
5.84,-0.00,0.00,-0.00,-0.00,0.02,1.01
5.85,-0.00,0.00,-0.00,0.02,0.02,1.01
5.86,-0.00,0.00,-0.00,0.03,0.01,1.02
5.86,-0.00,0.00,-0.00,0.03,-0.01,1.04
5.87,-0.00,0.00,-0.00,0.03,0.01,1.04
5.88,-0.00,0.00,-0.00,0.01,0.01,1.03
5.89,0.00,-0.00,0.00,0.01,-0.02,1.01
5.90,-0.00,0.00,-0.00,0.02,-0.01,1.02
5.91,0.00,0.00,-0.00,0.01,-0.01,1.04
5.91,-0.00,0.00,-0.00,0.01,-0.00,1.03
5.92,-0.00,0.00,-0.00,0.01,0.01,1.03
5.93,-0.00,-0.00,-0.00,0.02,0.00,1.04
5.94,-0.00,0.00,-0.00,-0.00,-0.01,1.05
5.95,0.00,0.00,0.00,0.01,-0.01,1.06
5.95,0.00,-0.00,0.00,0.01,-0.01,1.04
5.96,0.00,-0.00,0.00,0.02,-0.01,1.00
5.97,-0.00,-0.00,-0.00,0.01,-0.00,1.01
5.98,-0.00,-0.00,-0.00,-0.01,0.00,1.02
5.99,0.00,-0.00,-0.00,0.02,-0.00,1.01
5.99,0.00,0.00,-0.00,0.02,-0.01,1.02
6.00,-0.00,0.00,-0.00,0.01,0.01,1.03
6.01,-0.00,0.00,-0.00,0.02,0.00,1.00
6.02,0.00,-0.00,-0.00,0.01,-0.00,1.01
6.03,-0.00,-0.00,-0.00,-0.00,0.00,1.01
6.03,0.00,0.00,-0.00,0.01,0.02,1.02
6.04,0.00,0.00,-0.00,0.02,0.01,1.02
6.05,0.00,0.00,-0.00,0.02,0.01,1.00
6.06,-0.00,0.00,0.00,0.01,-0.00,1.02
6.07,-0.00,-0.00,0.00,0.02,-0.01,1.03
6.07,-0.00,-0.00,0.00,0.02,-0.01,1.01
6.08,0.00,0.00,0.00,0.01,-0.02,1.03
6.09,0.00,0.00,-0.00,0.01,0.01,1.01
6.10,-0.00,-0.00,-0.00,0.00,-0.00,1.00
6.11,0.00,0.00,0.00,-0.01,-0.01,1.01
6.11,-0.00,-0.00,0.00,0.00,-0.00,1.00
6.12,-0.00,0.00,-0.00,0.02,-0.01,1.01
6.13,-0.00,0.00,-0.00,0.01,0.02,1.03
6.14,0.00,0.00,-0.00,0.02,0.00,1.02
6.14,0.00,0.00,-0.00,0.01,-0.00,1.03
6.15,0.00,0.00,-0.00,0.04,-0.00,1.01
6.16,0.00,0.00,0.00,0.03,0.01,1.02
6.17,0.00,0.00,-0.00,0.01,-0.01,1.02
6.18,0.00,0.00,0.00,-0.00,-0.01,1.01
6.18,0.00,0.00,0.00,0.00,-0.02,1.02
6.19,-0.00,0.00,-0.00,0.02,-0.00,1.03
6.20,-0.00,0.00,-0.00,0.01,-0.01,1.01
6.21,0.00,0.00,0.00,0.01,-0.00,1.01
6.22,-0.00,-0.00,0.00,0.01,-0.01,1.02
6.22,-0.00,0.00,-0.00,-0.01,-0.01,1.03
6.23,-0.00,0.00,0.00,0.01,0.01,1.02
6.24,0.00,0.00,0.00,0.02,0.00,1.01
6.25,-0.00,-0.00,0.00,0.01,-0.01,1.01
6.26,0.00,0.00,0.00,0.01,0.00,0.99
6.26,0.00,0.00,-0.00,0.01,0.01,1.03
6.27,-0.00,0.00,0.00,0.02,-0.00,1.03
6.28,0.00,-0.00,-0.00,0.01,0.00,1.02
6.29,0.00,0.00,0.00,0.01,0.00,1.02
6.30,-0.01,-0.02,0.00,-0.04,0.02,1.15
6.30,-0.02,-0.05,0.00,-0.02,0.02,1.11
6.31,-0.02,-0.05,0.00,0.01,-0.00,1.02
6.32,-0.02,-0.05,0.00,0.01,-0.02,1.00
6.33,-0.01,-0.04,0.00,0.00,-0.01,1.04
6.34,-0.02,-0.05,0.00,-0.01,-0.01,1.08
6.34,-0.02,-0.06,0.00,0.02,-0.01,1.05
6.35,-0.02,-0.07,0.00,0.01,-0.01,1.09
6.36,-0.02,-0.06,0.00,0.09,-0.02,0.94
6.37,-0.01,-0.03,-0.00,0.16,-0.05,0.79
6.38,0.04,0.11,-0.00,0.42,-0.16,0.09
6.39,0.09,0.24,-0.01,-0.01,-0.04,1.10
6.39,0.03,0.08,-0.00,-0.11,0.06,1.40
6.40,0.02,0.04,-0.00,-0.06,0.03,1.18
6.41,0.01,0.01,-0.00,0.01,-0.01,1.01
6.42,0.00,0.01,-0.00,-0.02,0.01,1.05
6.43,0.00,0.00,0.00,0.01,0.01,1.04
6.43,0.00,0.00,0.00,0.01,0.01,1.02
6.44,-0.00,0.00,0.00,0.00,0.01,1.05
6.45,-0.00,0.00,0.00,0.00,0.00,1.05
6.46,-0.00,0.00,-0.00,0.01,0.01,1.04
6.47,-0.00,0.00,-0.00,0.01,-0.00,1.03
6.47,0.00,0.00,0.00,-0.01,0.01,1.03
6.48,-0.00,0.00,0.00,-0.00,-0.01,1.03
6.49,-0.00,-0.00,-0.00,0.02,0.00,1.03
6.50,-0.00,0.00,-0.00,0.01,-0.00,1.03
6.51,-0.00,0.00,0.00,0.01,-0.01,1.04
6.51,-0.00,0.00,0.00,-0.02,-0.00,1.01
6.52,0.00,0.00,-0.00,0.02,0.01,1.03
6.53,0.00,-0.00,-0.00,0.01,0.00,1.03
6.54,0.00,0.00,0.00,0.00,0.01,1.01
6.55,-0.00,-0.00,-0.00,0.01,-0.01,1.03
6.55,0.00,0.00,-0.00,0.02,-0.01,1.01
6.56,-0.00,0.00,0.00,0.02,-0.00,1.01
6.57,-0.00,0.00,0.00,-0.00,-0.01,1.01
6.58,0.00,0.00,-0.00,0.00,0.01,1.04
6.59,-0.00,0.00,0.00,0.02,0.01,1.03
6.59,0.00,-0.00,0.00,0.01,0.00,1.03
6.60,0.00,-0.00,0.00,-0.00,0.00,1.01
6.61,-0.00,-0.00,0.00,0.00,-0.01,1.01
6.62,-0.00,-0.00,0.00,0.01,-0.01,1.01
6.62,-0.00,-0.00,0.00,0.00,0.01,1.06
6.63,-0.01,-0.03,0.00,-0.04,0.01,1.20
6.64,-0.02,-0.04,0.00,0.06,-0.02,0.91
6.65,-0.00,-0.01,0.00,0.05,0.03,0.95
6.66,-0.00,-0.00,0.04,-0.08,0.27,1.11
6.66,-0.01,-0.03,0.08,-0.06,0.17,1.06
6.67,-0.01,-0.02,0.13,-0.03,0.16,0.99
6.68,-0.01,-0.01,0.14,0.02,-0.05,0.99
6.69,-0.01,-0.01,0.12,0.06,-0.16,1.02
6.70,-0.00,0.00,0.09,0.08,-0.12,0.98
6.70,0.00,0.01,0.08,0.04,-0.02,1.06
6.71,-0.00,0.00,0.09,0.04,0.16,1.05
6.72,-0.00,-0.00,0.16,0.04,0.42,1.09
6.73,-0.01,-0.02,0.30,0.23,0.50,1.03
6.74,-0.02,-0.02,0.44,0.17,0.46,1.02
6.74,-0.02,-0.02,0.58,0.31,0.36,1.07
6.75,-0.02,-0.03,0.68,0.00,0.14,1.02
6.76,-0.02,-0.02,0.74,-0.24,0.09,1.01
6.77,-0.02,-0.02,0.77,-0.23,0.03,1.18
6.78,-0.04,-0.08,0.76,-0.33,-0.03,1.23
6.78,-0.04,-0.09,0.73,-0.37,0.03,0.96
6.79,-0.03,-0.07,0.72,-0.61,0.01,1.03
6.80,-0.03,-0.07,0.68,-1.12,-0.39,0.94
6.81,-0.02,-0.06,0.56,-1.34,-0.60,0.95
6.82,-0.01,-0.04,0.43,-1.33,-0.95,1.03
6.82,-0.01,-0.04,0.19,-1.10,-1.36,0.93
6.83,-0.00,-0.01,-0.06,-1.07,-1.25,1.01
6.84,0.00,-0.01,-0.23,-0.70,-0.92,1.00
6.85,0.00,-0.00,-0.28,0.07,-0.44,1.01
6.86,0.00,0.00,-0.20,0.41,-0.09,1.01
6.86,-0.00,-0.01,-0.10,0.23,-0.10,1.05
6.87,-0.00,-0.01,-0.03,0.00,-0.13,0.93
6.88,0.00,0.00,0.01,-0.02,-0.14,1.03
6.89,-0.00,-0.00,0.04,-0.15,-0.20,0.94
6.90,0.00,0.01,0.07,-0.36,-0.15,1.00
6.91,-0.00,0.00,0.10,-0.38,-0.18,1.00
6.91,-0.00,0.01,0.14,-0.46,-0.28,1.09
6.92,-0.00,-0.01,0.18,-0.52,-0.58,1.01
6.93,-0.00,0.00,0.19,-0.71,-0.82,1.06
6.94,-0.00,-0.00,0.16,-0.83,-0.90,1.05
6.95,-0.00,0.00,0.13,-0.85,-0.77,0.98
6.95,0.00,0.01,0.11,-0.93,-0.52,1.08
6.96,-0.00,-0.00,0.12,-0.89,-0.36,1.07
6.97,0.00,0.00,0.12,-0.77,-0.31,0.94
6.98,-0.00,0.00,0.13,-0.80,-0.27,1.09
6.99,0.00,0.01,0.13,-0.65,-0.28,0.96
6.99,0.00,0.01,0.15,-0.60,-0.29,0.95
7.00,0.00,0.00,0.17,-0.93,-0.37,1.09
7.01,0.00,-0.01,0.13,-1.15,-0.63,0.98
7.02,0.00,-0.00,0.05,-1.05,-0.68,0.96
7.03,0.00,0.00,-0.02,-0.77,-0.52,1.05
7.03,0.00,0.01,-0.04,-0.53,-0.38,1.04
7.04,0.00,0.00,-0.03,-0.24,-0.26,0.94
7.05,0.00,0.00,0.02,0.11,-0.16,1.04
7.06,0.00,-0.00,0.10,0.05,-0.22,1.04
7.07,-0.00,-0.01,0.15,-0.11,-0.39,0.96
7.07,0.00,0.01,0.15,-0.25,-0.51,1.00
7.08,-0.00,0.00,0.14,-0.53,-0.56,1.18
7.09,-0.00,-0.02,0.11,-0.67,-0.59,1.03
7.10,-0.00,-0.01,0.07,-0.60,-0.52,1.00
7.11,-0.00,-0.00,0.04,-0.44,-0.36,1.03
7.11,-0.00,-0.01,0.03,-0.39,-0.29,1.03
7.12,-0.00,0.00,0.04,-0.49,-0.38,1.04
7.13,0.00,-0.00,0.01,-0.57,-0.41,1.02
7.14,-0.00,0.00,-0.01,-0.46,-0.26,1.00
7.14,0.00,0.01,-0.02,-0.24,-0.10,1.02
7.15,0.00,0.01,-0.03,-0.27,-0.03,1.01
7.16,0.00,0.01,-0.04,-0.21,0.04,1.03
7.17,0.00,0.01,-0.04,-0.09,0.16,1.04
7.18,0.00,0.01,-0.02,0.05,0.23,1.04
7.18,0.00,0.01,0.02,0.17,0.24,1.03
7.19,-0.00,0.01,0.08,0.14,0.21,1.09
7.20,-0.00,0.01,0.13,0.00,0.18,1.01
7.21,-0.00,0.01,0.15,0.03,0.07,1.01
7.22,-0.00,0.01,0.19,-0.09,0.06,1.04
7.22,-0.01,0.01,0.21,-0.40,-0.09,1.05
7.23,-0.00,0.01,0.18,-0.57,-0.31,1.02
7.24,-0.00,0.01,0.14,-0.48,-0.40,1.04
7.25,0.00,0.02,0.09,-0.20,-0.50,0.99
7.26,0.00,0.02,0.04,-0.12,-0.39,1.02
7.26,0.00,0.01,-0.01,-0.13,-0.31,1.06
7.27,-0.00,-0.00,-0.03,0.02,-0.09,1.01
7.28,-0.00,-0.00,-0.04,-0.23,-0.01,1.08
7.29,-0.00,-0.02,-0.04,-0.43,0.03,1.04
7.30,-0.00,-0.02,-0.04,-0.52,-0.04,1.05
7.30,-0.00,-0.02,-0.04,-0.52,0.07,0.97
7.31,0.00,0.01,-0.06,-0.61,0.00,0.83
7.32,0.00,0.02,-0.11,-0.55,-0.12,1.03
7.33,0.00,0.01,-0.12,-0.16,0.09,1.07
7.34,0.00,0.01,-0.09,0.08,0.43,0.99
7.34,0.00,0.00,-0.05,-0.13,0.40,0.98
7.35,0.01,0.01,-0.03,-0.04,0.24,1.02
7.36,0.00,0.00,0.00,0.04,0.18,1.12
7.37,0.00,0.00,0.05,0.18,0.23,1.08
7.38,0.00,0.00,0.09,0.27,0.41,1.01
7.39,0.00,-0.01,0.14,0.31,0.37,1.10
7.39,0.00,-0.01,0.19,0.21,0.30,1.10
7.40,0.00,-0.01,0.19,-0.01,0.13,1.06
7.41,-0.00,-0.01,0.17,0.08,0.14,1.01
7.42,-0.00,-0.02,0.17,-0.04,0.07,0.98
7.43,-0.00,-0.00,0.19,0.12,0.24,0.88
7.43,-0.01,0.00,0.22,0.07,0.34,1.08
7.44,-0.01,-0.00,0.25,0.05,0.32,1.05
7.45,-0.01,0.01,0.26,0.02,0.28,0.92
7.46,-0.00,0.02,0.23,-0.08,0.14,1.04
7.47,-0.01,0.02,0.18,-0.09,0.01,1.04
7.47,-0.00,0.02,0.12,-0.18,-0.30,0.97
7.48,-0.00,0.02,0.03,-0.27,-0.24,1.02
7.49,0.00,0.03,-0.07,-0.17,-0.24,0.98
7.50,0.01,0.03,-0.15,0.15,-0.13,0.99
7.51,0.01,0.03,-0.21,0.38,0.11,1.03
7.51,0.01,0.04,-0.21,0.88,0.19,0.97
7.52,0.01,0.02,-0.12,0.89,0.26,1.12
7.53,0.00,0.01,-0.03,0.56,0.43,0.98
7.54,0.00,0.02,-0.02,0.26,0.39,1.03
7.55,0.01,0.02,-0.06,0.08,0.30,0.94
7.55,0.01,0.02,-0.13,0.11,0.33,1.03
7.56,0.01,0.02,-0.21,0.19,0.30,1.03
7.57,0.01,0.01,-0.22,0.60,0.48,1.04
7.58,0.00,-0.00,-0.16,0.70,0.60,1.03
7.59,0.01,0.00,-0.08,0.38,0.62,1.04
7.59,0.00,-0.01,-0.05,-0.06,0.21,1.10
7.60,-0.00,-0.01,-0.07,-0.24,-0.04,1.02
7.61,-0.00,-0.02,-0.08,-0.37,0.03,1.01
7.62,-0.00,-0.01,-0.12,-0.52,0.09,0.92
7.62,-0.00,-0.01,-0.14,-0.26,0.26,1.06
7.63,-0.01,-0.01,-0.12,0.13,0.39,1.11
7.64,-0.01,-0.01,-0.08,0.14,0.45,1.11
7.65,-0.02,-0.02,-0.03,0.35,0.36,1.12
7.66,-0.03,-0.02,0.06,0.61,0.33,1.10
7.66,-0.03,-0.01,0.17,0.67,0.35,1.01
7.67,-0.04,-0.00,0.27,0.70,0.60,1.00
7.68,-0.04,0.00,0.37,0.56,0.63,1.00
7.69,-0.04,0.01,0.43,0.39,0.55,0.96
7.70,-0.03,0.03,0.44,0.18,0.39,0.86
7.70,-0.02,0.05,0.41,0.07,0.33,0.91
7.71,-0.02,0.07,0.38,0.15,0.28,0.98
7.72,-0.01,0.08,0.36,0.03,0.17,0.93
7.73,-0.00,0.09,0.35,-0.11,-0.03,1.02
7.74,0.01,0.09,0.32,-0.08,-0.28,0.95
7.74,0.01,0.10,0.26,-0.43,-0.42,0.97
7.75,0.02,0.10,0.21,-0.39,-0.31,1.02
7.76,0.03,0.09,0.21,-0.33,-0.10,1.03
7.77,0.03,0.08,0.26,-0.18,0.07,1.12
7.78,0.03,0.08,0.32,-0.04,0.15,1.00
7.78,0.03,0.07,0.37,0.13,0.13,1.05
7.79,0.03,0.06,0.39,0.10,0.05,1.02
7.80,0.03,0.05,0.35,-0.01,0.03,1.11
7.81,0.04,0.01,0.27,0.17,0.18,1.20
7.82,0.03,-0.02,0.23,0.67,0.44,1.12
7.82,0.03,-0.03,0.23,0.81,0.59,1.08
7.83,0.02,-0.04,0.24,0.65,0.58,1.14
7.84,0.01,-0.06,0.26,0.84,0.61,1.09
7.85,0.00,-0.07,0.27,0.87,0.49,1.06
7.86,-0.00,-0.08,0.27,0.88,0.37,1.04
7.86,-0.01,-0.09,0.26,0.75,0.15,1.03
7.87,-0.01,-0.09,0.23,0.99,0.01,0.98
7.88,-0.01,-0.07,0.21,1.12,-0.00,0.97
7.89,-0.01,-0.06,0.20,0.80,0.12,0.93
7.90,-0.01,-0.05,0.17,0.48,0.15,0.94
7.91,-0.00,-0.03,0.14,0.39,0.15,0.97
7.91,-0.00,-0.02,0.08,0.50,0.17,0.97
7.92,-0.00,-0.02,0.06,0.52,0.29,1.00
7.93,-0.00,-0.01,0.05,0.50,0.28,1.00
7.94,-0.00,-0.01,0.04,0.38,0.29,1.05
7.95,-0.00,-0.01,0.04,0.52,0.22,0.97
7.95,-0.00,-0.00,0.04,0.64,0.17,0.98
7.96,-0.00,0.00,0.05,0.73,0.06,0.99
7.97,-0.00,-0.00,0.07,0.72,0.01,1.07
7.98,-0.00,-0.00,0.08,0.85,0.14,1.03
7.99,-0.00,-0.00,0.09,0.85,0.18,1.03
7.99,-0.00,-0.00,0.09,0.77,0.15,1.01
8.00,-0.00,-0.00,0.09,0.87,0.11,1.03
8.01,-0.00,-0.00,0.09,1.03,0.11,1.04
8.02,-0.00,-0.00,0.10,1.00,0.10,0.99
8.02,-0.00,-0.00,0.10,0.83,0.05,1.03
8.03,-0.00,-0.01,0.09,0.73,-0.02,1.03
8.04,-0.00,0.00,0.06,0.79,-0.26,0.99
8.05,-0.00,0.00,0.03,0.80,-0.33,1.05
8.06,0.00,0.00,-0.02,0.77,-0.37,1.07
8.06,-0.00,0.00,-0.04,0.83,-0.28,1.03
